TubeCode,LocationRow,LocationColumn,RackID
0231322517,A,01,SW_Abs2
0231322445,A,02,SW_Abs2
0231322462,A,03,SW_Abs2
0231322484,A,04,SW_Abs2
0231322512,A,05,SW_Abs2
0231322487,A,06,SW_Abs2
0231322535,A,07,SW_Abs2
0231322508,A,08,SW_Abs2
0231322488,A,09,SW_Abs2
0231322467,A,10,SW_Abs2
0231322491,A,11,SW_Abs2
0231322519,A,12,SW_Abs2
0231322509,B,01,SW_Abs2
0231322486,B,02,SW_Abs2
0231322494,B,03,SW_Abs2
0231322465,B,04,SW_Abs2
0231322471,B,05,SW_Abs2
0231322460,B,06,SW_Abs2
0231322432,B,07,SW_Abs2
0231322384,B,08,SW_Abs2
0231322410,B,09,SW_Abs2
0231322430,B,10,SW_Abs2
0231322429,B,11,SW_Abs2
0231322354,B,12,SW_Abs2
0231322493,C,01,SW_Abs2
0231322443,C,02,SW_Abs2
0231322464,C,03,SW_Abs2
0231322447,C,04,SW_Abs2
0231322510,C,05,SW_Abs2
0231322463,C,06,SW_Abs2
0231322461,C,07,SW_Abs2
0231322468,C,08,SW_Abs2
0231322513,C,09,SW_Abs2
0231322470,C,10,SW_Abs2
0231322515,C,11,SW_Abs2
0231322408,C,12,SW_Abs2
0231322401,D,01,SW_Abs2
0231322385,D,02,SW_Abs2
0231322406,D,03,SW_Abs2
0231322427,D,04,SW_Abs2
0231322409,D,05,SW_Abs2
0231323126,D,06,SW_Abs2
0231323169,D,07,SW_Abs2
0231323155,D,08,SW_Abs2
0231323125,D,09,SW_Abs2
0231323151,D,10,SW_Abs2
0231323123,D,11,SW_Abs2
0231322379,D,12,SW_Abs2
0231322376,E,01,SW_Abs2
0231322382,E,02,SW_Abs2
0231322425,E,03,SW_Abs2
0231322360,E,04,SW_Abs2
0231322352,E,05,SW_Abs2
0231322435,E,06,SW_Abs2
0231322407,E,07,SW_Abs2
0231322386,E,08,SW_Abs2
0231322387,E,09,SW_Abs2
0231322356,E,10,SW_Abs2
0231322411,E,11,SW_Abs2
0231322358,E,12,SW_Abs2
0231322404,F,01,SW_Abs2
0231322359,F,02,SW_Abs2
0231322400,F,03,SW_Abs2
0231322378,F,04,SW_Abs2
0231323146,F,05,SW_Abs2
0231323153,F,06,SW_Abs2
0231323176,F,07,SW_Abs2
0231323192,F,08,SW_Abs2
0231323145,F,09,SW_Abs2
0231323148,F,10,SW_Abs2
No Tube,F,11,SW_Abs2
No Tube,F,12,SW_Abs2
0231323120,G,01,SW_Abs2
0231323174,G,02,SW_Abs2
0231323193,G,03,SW_Abs2
0231323198,G,04,SW_Abs2
0231323202,G,05,SW_Abs2
0231323201,G,06,SW_Abs2
0231323194,G,07,SW_Abs2
0231323149,G,08,SW_Abs2
0231323203,G,09,SW_Abs2
0231323129,G,10,SW_Abs2
0231323121,G,11,SW_Abs2
0231323127,G,12,SW_Abs2
0231323196,H,01,SW_Abs2
0231323168,H,02,SW_Abs2
0231323124,H,03,SW_Abs2
0231323150,H,04,SW_Abs2
0231323178,H,05,SW_Abs2
0231323173,H,06,SW_Abs2
0231323171,H,07,SW_Abs2
0231323172,H,08,SW_Abs2
0231323177,H,09,SW_Abs2
0231323197,H,10,SW_Abs2
0231323170,H,11,SW_Abs2
0231323152,H,12,SW_Abs2
